id,product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,supplier_lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,created_at
1,haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,96,4,Carrier B,2.956572139430807,Supplier 3,New York,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,2026-02-15 14:56:17.697444
2,skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,37,2,Carrier A,9.71657477143131,Supplier 3,New York,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,2026-02-15 14:56:17.697444
3,haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,88,2,Carrier B,8.054479261732155,Supplier 1,New York,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,2026-02-15 14:56:17.697444
4,skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,59,6,Carrier C,1.7295685635434288,Supplier 5,Georgia,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,2026-02-15 14:56:17.697444
5,skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,56,8,Carrier A,3.890547915870672,Supplier 1,Ohio,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,2026-02-15 14:56:17.697444
6,haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,66,3,Carrier B,4.444098864382293,Supplier 4,Texas,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,2026-02-15 14:56:17.697444
7,skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,58,8,Carrier C,3.880763302952003,Supplier 3,Georgia,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,2026-02-15 14:56:17.697444
8,cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,11,1,Carrier B,2.3483387844177805,Supplier 4,Texas,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,2026-02-15 14:56:17.697444
9,cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,15,7,Carrier C,3.4047338570830266,Supplier 4,New York,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,2026-02-15 14:56:17.697444
10,skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,83,1,Carrier A,7.166645291048216,Supplier 2,Texas,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,2026-02-15 14:56:17.697444
11,skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,80,2,Carrier C,8.673211211278613,Supplier 5,Georgia,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,2026-02-15 14:56:17.697444
12,skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,60,1,Carrier A,4.523943124316663,Supplier 2,Georgia,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,2026-02-15 14:56:17.697444
13,haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,85,4,Carrier A,1.325274010184522,Supplier 4,Georgia,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,2026-02-15 14:56:17.697444
14,skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,48,9,Carrier A,9.537283061108338,Supplier 5,Texas,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,2026-02-15 14:56:17.697444
15,skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,78,5,Carrier B,2.039770189449332,Supplier 1,Georgia,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,2026-02-15 14:56:17.697444
16,skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,69,7,Carrier B,2.4220397232752044,Supplier 1,Texas,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,2026-02-15 14:56:17.697444
17,skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,78,1,Carrier B,4.191324585705502,Supplier 1,Texas,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,2026-02-15 14:56:17.697444
18,cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,85,9,Carrier C,3.585418958232342,Supplier 1,Texas,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,2026-02-15 14:56:17.697444
